Date,Type,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
163,Slack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Total,13309.000000000004,13081.500000000002,12775.700000000003,12632.55,12792.35,12807.15,13960.349999999997,15091.0,16377.0,17438.0,18356.0,19070.999999999996,19617.0,20172.0,20425.000000000004,20557.000000000007,20596.0,20358.0,19725.0,19292.999999999996,19323.0,18184.000000000004,16484.0,14848.0
164,Nuclear,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4672.9,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4672.9,4673.0,4673.0
164,Hydro,409.20000000000005,404.7,400.2,395.7,418.2,414.69999999999993,461.7,507.59999999999997,565.7,567.7,569.8,545.9000000000001,539.2,546.8999999999994,552.8,572.0,599.8,616.7,605.7,605.3000000000001,564.2,506.8,496.59999999999997,472.9
164,Steam,6565.800000000002,6472.800000000003,6521.500000000002,6611.849999999999,6740.15,6758.450000000001,7528.65,8403.5,9286.300000000003,10305.4,11036.300000000001,11614.900000000001,11828.300000000001,12016.7,12187.6,12330.5,12425.8,12409.999999999998,12245.3,11933.949999999999,11961.049999999997,11055.75,9866.7,8350.1
164,CT,1552.4999999999998,1422.4999999999998,1072.5,852.4999999999999,852.5,852.4999999999999,1188.5,1398.5,1743.4999999999998,1783.3999999999996,1968.3999999999999,2122.7,2452.800000000001,2811.7,2878.000000000001,2857.800000000002,2773.7000000000007,2544.8,2088.5,1968.2499999999995,2004.050000000002,1837.050000000002,1337.1999999999998,1242.4999999999998
164,Diesel,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,78.7,78.7,88.6,78.7,78.7,69.5,69.5,69.5,76.7,69.5,69.5,69.5
164,FixedImport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Other,39.0,39.0,39.0,30.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,43.0,43.0,44.0,42.0,41.0,40.0
164,INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,FLEX,535.0000000000055,1022.500000000003,1165.7000000000028,1213.550000000001,1246.3500000000017,491.1500000000008,438.35000000000105,13.0,1.8189894035458565e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,0.0,3.637978807091713e-12,0.0,0.0,0.0,3.637978807091713e-12,0.0,13.0,0.0,3.637978807091713e-12
164,FLEX,535.0000000000055,1022.500000000003,1165.7000000000028,1213.550000000001,1246.3500000000017,491.1500000000008,438.35000000000105,13.0,1.8189894035458565e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,0.0,3.637978807091713e-12,0.0,0.0,0.0,3.637978807091713e-12,0.0,13.0,0.0,3.637978807091713e-12
164,LOAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Slack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Total,14155.000000000002,13684.7,13364.0,13120.25,13189.550000000001,13121.349999999999,14253.649999999998,15416.999999999998,16692.0,17784.000000000004,18773.000000000004,19490.0,19973.000000000004,20423.0,20620.0,20583.000000000004,20479.999999999996,20072.0,19297.999999999996,18912.999999999996,18806.0,17746.000000000004,16265.000000000002,14719.000000000002
165,Nuclear,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4672.9,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0
165,Hydro,417.8,415.6,415.4,413.2,435.7,432.2,479.2,525.0999999999999,565.7,567.7,569.8,547.7999999999993,540.2,551.5,552.8,559.0,597.8,615.7,604.7,605.3000000000001,547.8000000000004,510.3,496.59999999999997,472.9
165,Steam,7106.25,6979.15,7092.599999999999,7082.05,7119.85,7055.15,7804.45,8712.0,9581.300000000001,10624.300000000001,11384.199999999999,11894.800000000001,12093.900000000001,12267.0,12405.900000000003,12429.650000000001,12389.0,12214.999999999998,11890.3,11700.699999999999,11686.2,10829.700000000003,9702.400000000001,8244.8
165,CT,1845.4500000000019,1505.4500000000019,1072.5,852.4999999999999,852.5,852.4999999999999,1188.5,1398.5,1763.4999999999998,1810.5,2037.5,2259.9000000000005,2542.2000000000007,2807.7999999999993,2854.7,2797.6500000000005,2697.5000000000005,2455.8,2018.5,1823.5,1788.5,1623.5,1284.5,1219.8
165,Diesel,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,78.7,78.7,88.6,78.7,78.7,69.5,69.5,69.5,69.5,69.5,69.5,69.5
165,FixedImport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Other,43.0,42.0,41.0,30.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,45.0,45.0,45.0,45.0,45.0,44.0,43.0,42.0,41.0,41.0,40.0,39.0,39.0
165,INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
